species	ensembl_assembly_accession	assembly_status
thermoproteus_tenax_kra_1_gca_000253055	GCA_000253055.1	Complete Genome
halalkalicoccus_jeotgali_b3_gca_000196895	GCA_000196895.1	Complete Genome
halalkalicoccus_jeotgali_b3_gca_000337255	GCA_000337255.1	Contig
methanosarcina_barkeri_cm1_gca_001027005	GCA_001027005.1	Complete Genome
halosimplex_carlsbadense_2_9_1_gca_000337455	GCA_000337455.1	Contig
haladaptatus_paucihalophilus_dx253_gca_000187225	GCA_000187225.2	Contig
haladaptatus_paucihalophilus_dx253_gca_900142335	GCA_900142335.1	Contig
halopiger_xanaduensis_sh_6_gca_000217715	GCA_000217715.1	Complete Genome
halostagnicola_larsenii_xh_48_gca_000517625	GCA_000517625.1	Complete Genome
halovivax_ruber_xh_70_gca_000328525	GCA_000328525.1	Complete Genome
natrinema_pellirubrum_dsm_15624_gca_000230735	GCA_000230735.3	Complete Genome
natrinema_pellirubrum_dsm_15624_gca_000337635	GCA_000337635.1	Contig
natronobacterium_gregoryi_sp2_gca_000230715	GCA_000230715.3	Complete Genome
natronobacterium_gregoryi_sp2_gca_000337655	GCA_000337655.1	Contig
natronobacterium_gregoryi_sp2_gca_002855455	GCA_002855455.1	Contig
candidatus_nitrosarchaeum_limnium_bg20_gca_000241145	GCA_000241145.2	Contig
candidatus_nitrosopumilus_salaria_bd31_gca_000242875	GCA_000242875.3	Contig
methanothermobacter_sp_cat2_gca_000828575	GCA_000828575.1	Complete Genome
methanomethylovorans_hollandica_dsm_15978_gca_000328665	GCA_000328665.1	Complete Genome
methanobacterium_paludis_gca_000214725	GCA_000214725.1	Complete Genome
methanobacterium_lacus_gca_000191585	GCA_000191585.1	Complete Genome
methanotorris_igneus_kol_5_gca_000214415	GCA_000214415.1	Complete Genome
candidatus_nitrosarchaeum_limnium_sfb1_gca_000204585	GCA_000204585.1	Chromosome
candidatus_nanosalina_sp_j07ab43_gca_000220375	GCA_000220375.1	Scaffold
candidatus_nanosalinarum_sp_j07ab56_gca_000220355	GCA_000220355.1	Scaffold
halovenus_aranensis_gca_900100385	GCA_900100385.1	Scaffold
nitrososphaera_viennensis_en76_gca_000698785	GCA_000698785.1	Complete Genome
sulfolobus_islandicus_hve10_4_gca_000189575	GCA_000189575.1	Complete Genome
sulfolobus_islandicus_rey15a_gca_000189555	GCA_000189555.1	Complete Genome
halococcus_morrhuae_dsm_1307_gca_000336695	GCA_000336695.1	Contig
acidianus_hospitalis_w1_gca_000213215	GCA_000213215.1	Complete Genome
methanoplanus_limicola_dsm_2279_gca_000243255	GCA_000243255.1	Chromosome
ignicoccus_islandicus_dsm_13165_gca_001481685	GCA_001481685.1	Complete Genome
vulcanisaeta_moutnovskia_768_28_gca_000190315	GCA_000190315.1	Complete Genome
methanothrix_soehngenii_gp6_gca_000204415	GCA_000204415.1	Complete Genome
haloarchaeobius_iranensis_gca_900103505	GCA_900103505.1	Scaffold
thermoproteus_uzoniensis_768_20_gca_000193375	GCA_000193375.1	Complete Genome
nitrosarchaeum_koreense_my1_gca_000220175	GCA_000220175.2	Contig
metallosphaera_cuprina_ar_4_gca_000204925	GCA_000204925.1	Complete Genome
halalkalicoccus_paucihalophilus_gca_001593955	GCA_001593955.1	Contig
sulfolobus_acidocaldarius_n8_gca_000340315	GCA_000340315.1	Complete Genome
sulfolobus_acidocaldarius_ron12_i_gca_000338775	GCA_000338775.1	Complete Genome
halorhabdus_tiamatea_sarl4b_gca_000215915	GCA_000215915.3	Contig
halorhabdus_tiamatea_sarl4b_gca_000470655	GCA_000470655.1	Complete Genome
methanosarcina_spelaei_gca_002287235	GCA_002287235.1	Contig
methanocella_conradii_hz254_gca_000251105	GCA_000251105.1	Complete Genome
thermococcus_sp_4557_gca_000221185	GCA_000221185.1	Complete Genome
halopenitus_persicus_gca_900107205	GCA_900107205.1	Scaffold
methanococcus_maripaludis_x1_gca_000220645	GCA_000220645.1	Complete Genome
thermoplasmatales_archaeon_brna1_gca_000350305	GCA_000350305.1	Complete Genome
caldisphaera_lagunensis_dsm_15908_gca_000317795	GCA_000317795.1	Complete Genome
methanocaldococcus_villosus_kin24_t80_gca_000363885	GCA_000363885.1	Contig
halonotius_sp_j07hn4_gca_000416065	GCA_000416065.1	Scaffold
candidatus_haloredivivus_sp_g17_gca_000236195	GCA_000236195.2	Contig
halohasta_litchfieldiae_gca_002788215	GCA_002788215.1	
halohasta_litchfieldiae_gca_900109065	GCA_900109065.1	Contig
methanosphaera_cuniculi_gca_002287195	GCA_002287195.1	Contig
methanosphaera_cuniculi_gca_003149675	GCA_003149675.1	Contig
candidatus_nitrosotalea_devanaterra_gca_900065925	GCA_900065925.1	Complete Genome
halophilic_archaeon_j07hx64_gca_000416085	GCA_000416085.1	Scaffold
halophilic_archaeon_j07hb67_gca_000416105	GCA_000416105.1	Scaffold
methanolobus_tindarius_dsm_2278_gca_000504205	GCA_000504205.1	Contig
methanolobus_psychrophilus_r15_gca_000306725	GCA_000306725.1	Complete Genome
natronorubrum_texcoconense_gca_900100335	GCA_900100335.1	Contig
natronobacterium_texcoconense_gca_900104065	GCA_900104065.1	Scaffold
pyrobaculum_ferrireducens_gca_000234805	GCA_000234805.1	Complete Genome
methanosaeta_harundinacea_6ac_gca_000235565	GCA_000235565.1	Complete Genome
natronorubrum_tibetense_ga33_gca_000337235	GCA_000337235.1	Contig
halorubrum_ezzemoulense_dsm_17463_gca_002114285	GCA_002114285.1	Contig
methanobrevibacter_gottschalkii_dsm_11977_gca_003814835	GCA_003814835.1	Scaffold
picrophilus_oshimae_dsm_9789_gca_900176435	GCA_900176435.1	Contig
haloplanus_salinus_gca_003336245	GCA_003336245.1	Contig
halococcus_hamelinensis_100a6_gca_000336675	GCA_000336675.1	Contig
candidatus_acidianus_copahuensis_gca_000632495	GCA_000632495.1	Contig
fervidicoccus_fontis_kam940_gca_000258425	GCA_000258425.1	Complete Genome
pyrococcus_sp_st04_gca_000263735	GCA_000263735.1	Complete Genome
thermogladius_calderae_1633_gca_000264495	GCA_000264495.1	Complete Genome
pyrococcus_furiosus_com1_gca_000275605	GCA_000275605.1	Complete Genome
natrinema_salaciae_gca_900110865	GCA_900110865.1	Scaffold
thaumarchaeota_archaeon_scgc_ab_539_e09_gca_000349625	GCA_000349625.1	Contig
thermoplasmatales_archaeon_scgc_ab_539_n05_gca_000349645	GCA_000349645.1	Contig
aeropyrum_camini_sy1_jcm_12091_gca_000591035	GCA_000591035.1	Complete Genome
methanoculleus_bourgensis_ms2_gca_000304355	GCA_000304355.2	Complete Genome
halopiger_salifodinae_gca_900110455	GCA_900110455.1	Scaffold
methanobacterium_formicicum_dsm_3637_gca_000302455	GCA_000302455.1	Contig
halogranum_salarium_b_1_gca_000283335	GCA_000283335.1	Contig
methanobacterium_sp_maddingley_mbc34_gca_000309865	GCA_000309865.1	Contig
haloarcula_amylolytica_jcm_13557_gca_000336615	GCA_000336615.1	Contig
haloarcula_japonica_dsm_6131_gca_000336635	GCA_000336635.1	Contig
halobiforma_nitratireducens_jcm_10879_gca_000337895	GCA_000337895.1	Contig
halococcus_saccharolyticus_dsm_5350_gca_000336915	GCA_000336915.1	Contig
halococcus_salifodinae_dsm_8989_gca_000336935	GCA_000336935.1	Contig
halococcus_thailandensis_jcm_13552_gca_000336715	GCA_000336715.1	Contig
haloferax_alexandrinus_jcm_10717_gca_000336735	GCA_000336735.1	Contig
haloferax_gibbonsii_atcc_33959_gca_000336775	GCA_000336775.1	Contig
haloferax_larsenii_jcm_13917_gca_000336955	GCA_000336955.1	Contig
haloferax_prahovense_dsm_18310_gca_000336815	GCA_000336815.1	Contig
haloferax_sp_atcc_baa_644_gca_000336975	GCA_000336975.1	Contig
haloferax_sp_atcc_baa_645_gca_000336835	GCA_000336835.1	Contig
haloferax_sp_atcc_baa_646_gca_000336855	GCA_000336855.1	Contig
halorubrum_californiensis_dsm_19288_gca_000336875	GCA_000336875.1	Contig
halorubrum_coriense_dsm_10284_gca_000337035	GCA_000337035.1	Contig
halorubrum_distributum_jcm_9100_gca_000337055	GCA_000337055.1	Contig
halorubrum_distributum_jcm_10118_gca_000337335	GCA_000337335.1	Contig
halorubrum_hochstenium_atcc_700873_gca_000337075	GCA_000337075.1	Contig
halorubrum_lipolyticum_dsm_21995_gca_000337375	GCA_000337375.1	Contig
halorubrum_litoreum_jcm_13561_gca_000337395	GCA_000337395.1	Contig
halorubrum_saccharovorum_dsm_1137_gca_000337915	GCA_000337915.1	Contig
halorubrum_tebenquichense_dsm_14210_gca_000337415	GCA_000337415.1	Contig
halorubrum_terrestre_jcm_10247_gca_000337435	GCA_000337435.1	Contig
halogeometricum_pallidum_jcm_14848_gca_000337095	GCA_000337095.1	Contig
haloterrigena_salina_jcm_13891_gca_000337495	GCA_000337495.1	Contig
haloterrigena_thermotolerans_dsm_11522_gca_000337115	GCA_000337115.1	Contig
halovivax_asiaticus_jcm_14624_gca_000337515	GCA_000337515.1	Contig
natrialba_aegyptia_dsm_13077_gca_000337535	GCA_000337535.1	Contig
natrialba_chahannaoensis_jcm_10990_gca_000337135	GCA_000337135.1	Contig
natrialba_hulunbeirensis_jcm_10989_gca_000337575	GCA_000337575.1	Contig
natrinema_altunense_jcm_12890_gca_000337155	GCA_000337155.1	Contig
natrinema_pallidum_dsm_3751_gca_000337615	GCA_000337615.1	Contig
natrinema_versiforme_jcm_10478_gca_000337195	GCA_000337195.1	Contig
natronococcus_amylolyticus_dsm_10524_gca_000337675	GCA_000337675.1	Contig
natronococcus_jeotgali_dsm_18795_gca_000337695	GCA_000337695.1	Contig
natronolimnobius_innermongolicus_jcm_12255_gca_000337215	GCA_000337215.1	Contig
natronorubrum_bangense_jcm_10635_gca_000337715	GCA_000337715.1	Contig
pyrobaculum_sp_wp30_gca_001189275	GCA_001189275.1	Complete Genome
candidatus_nitrosopumilus_koreensis_ar1_gca_000299365	GCA_000299365.1	Complete Genome
candidatus_nitrosopumilus_sediminis_gca_000299395	GCA_000299395.1	Complete Genome
haloarcula_argentinensis_dsm_12282_gca_000336895	GCA_000336895.1	
haloferax_lucentense_dsm_14919_gca_000336795	GCA_000336795.1	Contig
haloferax_elongans_atcc_baa_1513_gca_000336755	GCA_000336755.1	Contig
halorubrum_aidingense_jcm_13560_gca_000336995	GCA_000336995.1	Contig
halorubrum_arcis_jcm_13916_gca_000337015	GCA_000337015.1	Contig
halorubrum_kocurii_jcm_14978_gca_000337355	GCA_000337355.1	Contig
haloterrigena_limicola_jcm_13563_gca_000337475	GCA_000337475.1	Contig
natrialba_taiwanensis_dsm_12281_gca_000337595	GCA_000337595.1	Contig
natrinema_gari_jcm_14663_gca_000337175	GCA_000337175.1	Contig
natronorubrum_sulfidifaciens_jcm_14089_gca_000337735	GCA_000337735.1	Contig
halopelagius_longus_gca_003351065	GCA_003351065.1	Scaffold
halopelagius_longus_gca_900100875	GCA_900100875.1	Contig
candidatus_methanomethylophilus_alvus_mx1201_gca_000300255	GCA_000300255.2	Complete Genome
methanosarcina_mazei_tuc01_gca_000341715	GCA_000341715.1	Complete Genome
candidatus_nitrososphaera_gargensis_ga9_2_gca_000303155	GCA_000303155.1	Complete Genome
haloquadratum_walsbyi_j07hqw1_gca_000415965	GCA_000415965.1	Scaffold
haloquadratum_walsbyi_j07hqw2_gca_000415985	GCA_000415985.1	Scaffold
haloquadratum_sp_j07hqx50_gca_000416005	GCA_000416005.1	Scaffold
halonotius_sp_j07hn6_gca_000416025	GCA_000416025.1	Scaffold
halorubrum_sp_j07hr59_gca_000416045	GCA_000416045.1	Scaffold
sulfolobus_islandicus_lal14_1_gca_000364745	GCA_000364745.1	Complete Genome
thermoplasmatales_archaeon_scgc_ab_539_c06_gca_000364885	GCA_000364885.1	Contig
thermoplasmatales_archaeon_scgc_ab_540_f20_gca_000349685	GCA_000349685.1	Contig
halarchaeum_acidiphilum_mh1_52_1_gca_000474235	GCA_000474235.1	Contig
methanoculleus_sp_cag_1088_gca_000437835	GCA_000437835.1	Scaffold
methanobrevibacter_smithii_cag_186_gca_000437055	GCA_000437055.1	Scaffold
halopenitus_malekzadehii_gca_900108505	GCA_900108505.1	Scaffold
pyrodictium_delaneyi_gca_001412615	GCA_001412615.1	Complete Genome
pyrodictium_delaneyi_gca_002194565	GCA_002194565.1	Contig
methanospirillum_stamsii_gca_003173335	GCA_003173335.1	Contig
candidatus_methanomethylophilus_alvus_gca_003711245	GCA_003711245.1	Complete Genome
metallosphaera_hakonensis_jcm_8857_dsm_7519_gca_003201675	GCA_003201675.1	
thermococcus_celer_vu_13_jcm_8558_gca_002214365	GCA_002214365.1	Complete Genome
acidiplasma_sp_mba_1_gca_000949015	GCA_000949015.1	Contig
candidatus_nanobsidianus_stetteri_gca_000387965	GCA_000387965.1	Contig
candidatus_nanobsidianus_stetteri_gca_003086415	GCA_003086415.1	
candidatus_nanobsidianus_stetteri_gca_003086475	GCA_003086475.1	Contig
candidatus_methanomassiliicoccus_intestinalis_issoire_mx1_gca_000404225	GCA_000404225.1	Complete Genome
methanobrevibacter_arboriphilus_jcm_13429_dsm_1125_gca_002072215	GCA_002072215.1	Contig
methanocaldococcus_bathoardescens_gca_000739065	GCA_000739065.1	Complete Genome
candidatus_halobonum_tyrrellensis_g22_gca_000495475	GCA_000495475.1	Contig
halophilic_archaeon_j07hx5_gca_000415945	GCA_000415945.1	Scaffold
candidatus_aramenus_sulfurataquae_gca_000565255	GCA_000565255.1	Contig
salinarchaeum_sp_harcht_bsk1_gca_000403645	GCA_000403645.1	Complete Genome
palaeococcus_pacificus_dy20341_gca_000725425	GCA_000725425.1	Complete Genome
archaeoglobus_fulgidus_dsm_8774_gca_000734035	GCA_000734035.1	Complete Genome
methanococcoides_vulcani_gca_900111645	GCA_900111645.1	Scaffold
thaumarchaeota_archaeon_my3_gca_000802205	GCA_000802205.2	Complete Genome
thermofilum_adornatus_gca_000446015	GCA_000446015.1	Complete Genome
halorientalis_persicus_gca_900110215	GCA_900110215.1	Scaffold
methanobacterium_sp_mb1_gca_000499765	GCA_000499765.1	Complete Genome
halorubrum_sp_ea8_gca_002252925	GCA_002252925.1	Scaffold
halorubrum_sp_c191_gca_002727095	GCA_002727095.1	Scaffold
halorubrum_sp_eb13_gca_002252895	GCA_002252895.1	Scaffold
halorubrum_persicum_gca_002727125	GCA_002727125.1	Scaffold
halorubrum_sp_ib24_gca_002252745	GCA_002252745.1	Contig
halorubrum_halodurans_gca_002252985	GCA_002252985.1	Scaffold
candidatus_methanoperedens_nitroreducens_gca_000685155	GCA_000685155.1	Scaffold
candidatus_methanoperedens_nitroreducens_gca_900196725	GCA_900196725.1	Contig
candidatus_nitrosotenuis_uzonensis_gca_000723185	GCA_000723185.1	Contig
halobacterium_hubeiense_gca_001488575	GCA_001488575.1	Complete Genome
uncultured_acidilobus_sp_mg_gca_000495675	GCA_000495675.1	Scaffold
uncultured_acidilobus_sp_cis_gca_000495695	GCA_000495695.1	Scaffold
uncultured_acidilobus_sp_osp8_gca_000495715	GCA_000495715.1	Scaffold
uncultured_acidilobus_sp_jchs_gca_000495735	GCA_000495735.1	Scaffold
candidatus_nitrosopelagicus_brevis_gca_000812185	GCA_000812185.1	Complete Genome
candidatus_nitrosopelagicus_brevis_gca_003045125	GCA_003045125.1	Contig
uncultured_archaeon_a07hr67_gca_000496175	GCA_000496175.1	Scaffold
uncultured_archaeon_a07hb70_gca_000496195	GCA_000496195.1	Scaffold
uncultured_archaeon_a07hn63_gca_000496215	GCA_000496215.1	Scaffold
uncultured_archaeon_a07hr60_gca_000496235	GCA_000496235.1	Scaffold
haloterrigena_sp_h13_gca_000690595	GCA_000690595.2	Scaffold
haloarcula_hispanica_n601_gca_000504565	GCA_000504565.2	Complete Genome
halorubrum_sp_sd626r_gca_005435185	GCA_005435185.1	Scaffold
thermococcus_guaymasensis_dsm_11113_gca_000816105	GCA_000816105.1	Complete Genome
methanosarcina_sp_kolksee_gca_000969945	GCA_000969945.1	Complete Genome
methanosarcina_sp_mtp4_gca_000970045	GCA_000970045.1	Complete Genome
methanosarcina_sp_wh1_gca_000970005	GCA_000970005.1	Complete Genome
methanosarcina_sp_wwm596_gca_000969965	GCA_000969965.1	Complete Genome
methanococcoides_methylutens_mm1_gca_000970325	GCA_000970325.1	Complete Genome
methanosarcina_barkeri_227_gca_000970065	GCA_000970065.1	Complete Genome
methanosarcina_barkeri_3_gca_000970305	GCA_000970305.1	Complete Genome
methanosarcina_barkeri_ms_gca_000970025	GCA_000970025.1	Complete Genome
methanosarcina_barkeri_str_wiesmoor_gca_000969985	GCA_000969985.1	Complete Genome
methanosarcina_horonobensis_hb_1_jcm_15518_gca_000970285	GCA_000970285.1	Complete Genome
methanosarcina_lacustris_z_7289_gca_000970265	GCA_000970265.1	Complete Genome
methanosarcina_mazei_c16_gca_000970245	GCA_000970245.1	Complete Genome
methanosarcina_mazei_lyc_gca_000970225	GCA_000970225.1	Complete Genome
methanosarcina_mazei_sarpi_gca_000970185	GCA_000970185.1	Complete Genome
methanosarcina_mazei_wwm610_gca_000970165	GCA_000970165.1	Complete Genome
methanosarcina_siciliae_c2j_gca_000970145	GCA_000970145.1	Complete Genome
methanosarcina_siciliae_hi350_gca_000970125	GCA_000970125.1	Complete Genome
methanosarcina_siciliae_t4_m_gca_000970085	GCA_000970085.1	Complete Genome
methanosarcina_thermophila_chti_55_gca_000969925	GCA_000969925.1	Complete Genome
methanosarcina_vacuolata_z_761_gca_000969905	GCA_000969905.1	Complete Genome
sulfolobus_acidocaldarius_susaz_gca_000508305	GCA_000508305.1	Complete Genome
halapricum_salinum_gca_004799665	GCA_004799665.1	Complete Genome
candidatus_nitrososphaera_evergladensis_sr1_gca_000730285	GCA_000730285.1	Complete Genome
thaumarchaeota_archaeon_scgc_ac_337_f14_gca_003269155	GCA_003269155.1	
haloferax_massiliensis_gca_001368915	GCA_001368915.1	Scaffold
halorubrum_sp_ea1_gca_002252965	GCA_002252965.1	Scaffold
halorubrum_sp_hd13_gca_002252755	GCA_002252755.1	Scaffold
halorubrum_sp_c3_gca_002727105	GCA_002727105.1	Scaffold
halorubrum_sp_e3_gca_002252955	GCA_002252955.1	Scaffold
methanosarcina_sp_2_h_t_1a_15_gca_000979415	GCA_000979415.1	Scaffold
methanosarcina_sp_2_h_t_1a_3_gca_000979425	GCA_000979425.1	Scaffold
methanosarcina_sp_2_h_t_1a_8_gca_000979475	GCA_000979475.1	Scaffold
methanosarcina_sp_2_h_t_1a_6_gca_000979455	GCA_000979455.1	Scaffold
methanosarcina_sp_2_h_a_1b_4_gca_000979385	GCA_000979385.1	Scaffold
methanosarcina_sp_1_h_a_2_2_gca_000979975	GCA_000979975.1	Scaffold
methanosarcina_sp_1_h_t_1a_1_gca_000979295	GCA_000979295.1	Scaffold
halostagnicola_sp_a56_gca_000691505	GCA_000691505.2	Contig
methanogenic_archaeon_iso4_h5_gca_001560915	GCA_001560915.1	Complete Genome
methanoculleus_sp_mh98a_gca_000691865	GCA_000691865.1	Contig
candidatus_nitrosotalea_sinensis_gca_900143675	GCA_900143675.1	Contig
marine_group_i_thaumarchaeote_scgc_aaa799_b03_gca_000746785	GCA_000746785.1	Scaffold
marine_group_i_thaumarchaeote_scgc_aaa799_d11_gca_000746765	GCA_000746765.1	Contig
marine_group_i_thaumarchaeote_scgc_aaa799_e16_gca_000724145	GCA_000724145.1	Scaffold
marine_group_i_thaumarchaeote_scgc_aaa799_n04_gca_000722915	GCA_000722915.1	Scaffold
marine_group_i_thaumarchaeote_scgc_aaa799_p11_gca_000746685	GCA_000746685.1	Scaffold
marine_group_i_thaumarchaeote_scgc_rsa3_gca_000746745	GCA_000746745.1	Contig
thermococcus_eurythermalis_gca_000769655	GCA_000769655.1	Complete Genome
haloprofundus_marisrubri_gca_001469955	GCA_001469955.1	Contig
candidatus_micrarchaeum_sp_az1_gca_001896515	GCA_001896515.1	Contig
halorubrum_sp_sp3_gca_005435195	GCA_005435195.1	Scaffold
halorubrum_sp_sp9_gca_005435015	GCA_005435015.1	Scaffold
lokiarchaeum_sp_gc14_75_gca_000986845	GCA_000986845.1	Contig
haloferax_sp_sb29_gca_001469865	GCA_001469865.1	Contig
haloferax_sp_sb3_gca_001469875	GCA_001469875.2	Scaffold
haloplanus_sp_cba1112_gca_003342675	GCA_003342675.1	Complete Genome
thermofilum_uzonense_gca_000993805	GCA_000993805.1	Complete Genome
methanoculleus_taiwanensis_gca_004102725	GCA_004102725.1	Scaffold
methanoculleus_sediminis_gca_001017125	GCA_001017125.1	Scaffold
methanosphaera_sp_wgk6_gca_001729965	GCA_001729965.1	Contig
candidatus_nanopusillus_acidilobi_gca_001552015	GCA_001552015.1	Complete Genome
candidatus_methanoplasma_termitum_gca_000800805	GCA_000800805.1	Complete Genome
nitrosopumilus_adriaticus_gca_000956175	GCA_000956175.1	Complete Genome
nitrosopumilus_piranensis_gca_000875775	GCA_000875775.1	Complete Genome
thermococcus_sp_ep1_gca_001317345	GCA_001317345.1	Contig
haloarcula_sp_cba1115_gca_000827835	GCA_000827835.1	Complete Genome
thaumarchaeota_archaeon_sat1_gca_000955905	GCA_000955905.3	Complete Genome
halanaeroarchaeum_sulfurireducens_gca_001011115	GCA_001011115.1	Complete Genome
halanaeroarchaeum_sulfurireducens_gca_001305655	GCA_001305655.1	Complete Genome
natrinema_sp_cba1119_gca_002572525	GCA_002572525.1	Contig
pyrococcus_kukulkanii_gca_001577775	GCA_001577775.1	Complete Genome
methanobrevibacter_sp_ye315_gca_001548675	GCA_001548675.1	Complete Genome
haloarcula_sp_k1_gca_001647155	GCA_001647155.1	Scaffold
thermococcales_archaeon_44_46_gca_001507935	GCA_001507935.1	Contig
thaumarchaeota_archaeon_csp1_1_gca_001443365	GCA_001443365.1	Scaffold
